,P@10,P@20,P@50,P@100,MAP
sci.electronics,0.6159999999999999,0.4364999999999999,0.27180000000000015,0.18290000000000003,0.06493071922960482
sci.space,0.768,0.639,0.48619999999999997,0.38199999999999995,0.1143772078391998
talk.religion.misc,0.5519999999999998,0.445,0.34600000000000003,0.28730000000000006,0.11591463378185779
comp.os.ms-windows.misc,0.606,0.49700000000000005,0.3721999999999999,0.3000000000000001,0.10501764162724292
rec.autos,0.6970000000000005,0.5854999999999999,0.4396000000000001,0.33390000000000003,0.11019011226028123
comp.sys.ibm.pc.hardware,0.6250000000000001,0.5429999999999999,0.4383999999999999,0.3625,0.10993849478322587
comp.windows.x,0.6369999999999998,0.5425000000000001,0.3946000000000002,0.299,0.08237684398942668
soc.religion.christian,0.7019999999999998,0.601,0.5042,0.44619999999999993,0.19892892193094946
rec.sport.baseball,0.7920000000000001,0.6584999999999998,0.4820000000000001,0.3688000000000002,0.11417109332378343
rec.sport.hockey,0.845,0.7500000000000003,0.5944,0.49690000000000006,0.17412300208308884
talk.politics.misc,0.6579999999999998,0.5815,0.4812000000000002,0.39429999999999993,0.1352739974882998
sci.med,0.6869999999999998,0.5399999999999998,0.3734000000000001,0.25739999999999996,0.08095142347826613
talk.politics.mideast,0.8450000000000002,0.7830000000000003,0.6940000000000001,0.6105000000000002,0.22010328482719863
misc.forsale,0.48700000000000004,0.3764999999999999,0.2849999999999999,0.24280000000000007,0.09401872135945151
comp.graphics,0.5799999999999997,0.493,0.3758000000000001,0.29419999999999996,0.08780809794087686
talk.politics.guns,0.6629999999999996,0.5519999999999997,0.45099999999999996,0.38289999999999985,0.15254688205033698
rec.motorcycles,0.7420000000000002,0.6205000000000002,0.44120000000000004,0.3203000000000001,0.1023700132113394
sci.crypt,0.804,0.7475000000000004,0.6539999999999998,0.5644,0.20572400923308665
comp.sys.mac.hardware,0.5979999999999999,0.4899999999999999,0.35120000000000007,0.2827,0.09117354230801979
alt.atheism,0.6479999999999998,0.5439999999999997,0.439,0.3604999999999998,0.13762753620690352
